ablation_id,phase,question,environment,rl_algorithm,window_length,detector_features,detector_model,detector_threshold,expert_mode,controller_mode,harm_signal,harm_threshold,corruption_type,attack_schedule,corruption_severity,class_regime,seeds,status,notes
A01,pilot,Does any protection help versus none?,CartPole-v1,DQN,16,statistical+learned,temporal_mlp,0.50,experts,hard_block,return_drop+expert_conf,0.50,reward_poisoning,random_sparse,low,balanced,5,planned,Core smoke test
A02,pilot,Does any protection help versus none?,CartPole-v1,DQN,16,statistical+learned,temporal_mlp,0.50,experts,hard_block,return_drop+expert_conf,0.50,observation_corruption,random_sparse,low,balanced,5,planned,Core smoke test
A03,pilot,Does any protection help versus none?,CartPole-v1,DQN,16,statistical+learned,temporal_mlp,0.50,experts,hard_block,return_drop+expert_conf,0.50,action_perturbation,random_sparse,low,balanced,5,planned,Core smoke test
A04,detector,Do longer windows improve burst detection?,CartPole-v1,DQN,8,statistical+learned,temporal_mlp,0.50,none,none,none,0.00,reward_poisoning,bursty,low,balanced,5,planned,Compare against A05 and A06
A05,detector,Do longer windows improve burst detection?,CartPole-v1,DQN,16,statistical+learned,temporal_mlp,0.50,none,none,none,0.00,reward_poisoning,bursty,low,balanced,5,planned,Compare against A04 and A06
A06,detector,Do longer windows improve burst detection?,CartPole-v1,DQN,32,statistical+learned,temporal_mlp,0.50,none,none,none,0.00,reward_poisoning,bursty,low,balanced,5,planned,Compare against A04 and A05
A07,detector,Do learned features add value over statistical features alone?,CartPole-v1,DQN,16,statistical,temporal_mlp,0.50,none,none,none,0.00,observation_corruption,bursty,medium,balanced,5,planned,Statistical-only baseline
A08,detector,Do learned features add value over statistical features alone?,CartPole-v1,DQN,16,learned,temporal_mlp,0.50,none,none,none,0.00,observation_corruption,bursty,medium,balanced,5,planned,Learned-only baseline
A09,detector,Do learned features add value over statistical features alone?,CartPole-v1,DQN,16,statistical+learned,temporal_mlp,0.50,none,none,none,0.00,observation_corruption,bursty,medium,balanced,5,planned,Combined baseline
A10,expert,Do experts outperform a monolithic classifier?,CartPole-v1,DQN,16,statistical+learned,temporal_mlp,0.50,monolithic,none,none,0.00,mixed,random_sparse,medium,balanced,5,planned,Compare against A11
A11,expert,Do experts outperform a monolithic classifier?,CartPole-v1,DQN,16,statistical+learned,temporal_mlp,0.50,experts,none,none,0.00,mixed,random_sparse,medium,balanced,5,planned,Expert baseline
A12,control,Does hard blocking reduce degradation?,CartPole-v1,DQN,16,statistical+learned,temporal_mlp,0.50,experts,hard_block,return_drop+expert_conf,0.50,mixed,bursty,medium,balanced,5,planned,Compare against A13 and A14
A13,control,Does hard blocking reduce degradation?,CartPole-v1,DQN,16,statistical+learned,temporal_mlp,0.50,experts,soft_attenuation,return_drop+expert_conf,0.50,mixed,bursty,medium,balanced,5,planned,Compare against A12 and A14
A14,control,Does hard blocking reduce degradation?,CartPole-v1,DQN,16,statistical+learned,temporal_mlp,0.50,experts,none,none,0.00,mixed,bursty,medium,balanced,5,planned,Detection/classification without control
A15,threshold,How sensitive is the detector threshold?,CartPole-v1,DQN,16,statistical+learned,temporal_mlp,0.30,experts,hard_block,return_drop+expert_conf,0.50,mixed,bursty,medium,balanced,5,planned,Low threshold
A16,threshold,How sensitive is the detector threshold?,CartPole-v1,DQN,16,statistical+learned,temporal_mlp,0.50,experts,hard_block,return_drop+expert_conf,0.50,mixed,bursty,medium,balanced,5,planned,Mid threshold
A17,threshold,How sensitive is the detector threshold?,CartPole-v1,DQN,16,statistical+learned,temporal_mlp,0.70,experts,hard_block,return_drop+expert_conf,0.50,mixed,bursty,medium,balanced,5,planned,High threshold
A18,threshold,How sensitive is the harm threshold?,CartPole-v1,DQN,16,statistical+learned,temporal_mlp,0.50,experts,hard_block,return_drop+expert_conf,0.30,mixed,bursty,medium,balanced,5,planned,Low harm threshold
A19,threshold,How sensitive is the harm threshold?,CartPole-v1,DQN,16,statistical+learned,temporal_mlp,0.50,experts,hard_block,return_drop+expert_conf,0.50,mixed,bursty,medium,balanced,5,planned,Mid harm threshold
A20,threshold,How sensitive is the harm threshold?,CartPole-v1,DQN,16,statistical+learned,temporal_mlp,0.50,experts,hard_block,return_drop+expert_conf,0.70,mixed,bursty,medium,balanced,5,planned,High harm threshold
A21,distribution,Does the method survive realistic rarity?,CartPole-v1,DQN,16,statistical+learned,temporal_mlp,0.50,experts,hard_block,return_drop+expert_conf,0.50,mixed,random_sparse,medium,realistic,5,planned,Low prevalence corruption
A22,distribution,Does the method survive realistic rarity?,CartPole-v1,DQN,16,statistical+learned,temporal_mlp,0.50,monolithic,hard_block,return_drop+expert_conf,0.50,mixed,random_sparse,medium,realistic,5,planned,Realistic rarity with monolithic classifier
A23,transfer,Does the trend carry to LunarLander?,LunarLander-v2,DQN,16,statistical+learned,temporal_mlp,0.50,experts,hard_block,return_drop+expert_conf,0.50,mixed,bursty,medium,balanced,5,planned,First transfer test
A24,transfer,Does the trend carry to HalfCheetah?,HalfCheetah-v4,SAC,16,statistical+learned,temporal_mlp,0.50,experts,soft_attenuation,return_drop+expert_conf,0.50,mixed,bursty,medium,balanced,5,planned,Continuous control transfer
